纳斯达克,19859.77,159.05,0.81,19863.14,19734.42
标普500,6090.27,15.16,0.25,6099.97,6079.98
加拿大S&P/TSX,25691.8,11.76,0.05,25826.98,25684.67
巴西BOVESPA,125947.86,-211.4,-0.17,125947.86,125945.89
道琼斯,44642.52,-123.19,-0.28,44923.74,44596.46
墨西哥BOLSA,51348.8,-408.04,-0.79,51819.76,51263.92
