墨西哥BOLSA,52010.72,661.92,1.29,52291.89,51370.39
巴西BOVESPA,127283.94,1124.68,0.89,127541.62,125945.89
加拿大S&P/TSX,25756.87,65.07,0.25,25843.2,25693.65
道琼斯,44566.19,-76.33,-0.17,44728.51,44517.54
标普500,6064.92,-25.35,-0.42,6088.51,6053.97
纳斯达克,19759.57,-100.2,-0.5,19872.79,19698.05
